Date,EPS Estimate,Reported EPS,Surprise(%),Ticker
2025-02-27 16:00:00-05:00,0.57,0.45,-21.07,MOS
2025-05-06 16:00:00-04:00,0.45,0.49,10.06,MOS
2025-08-05 17:00:00-04:00,0.72,0.51,-28.86,MOS
2025-11-04 17:00:00-05:00,1.02,1.29,26.03,MOS
2020-01-29 06:00:00-05:00,0.85,1.56,83.85,MPC
2020-05-05 07:00:00-04:00,-0.27,-0.16,41.38,MPC
2020-08-03 06:00:00-04:00,-1.76,-1.33,24.32,MPC
2020-11-02 06:00:00-05:00,-1.74,-1.0,42.47,MPC
2021-02-02 06:00:00-05:00,-1.24,-0.94,24.35,MPC
2021-05-04 06:00:00-04:00,-0.71,-0.2,71.74,MPC
2021-08-04 06:00:00-04:00,0.38,0.67,76.07,MPC
2021-11-02 06:00:00-04:00,0.7,0.73,4.06,MPC
2022-02-02 06:00:00-05:00,0.56,1.3,131.38,MPC
2022-05-03 06:00:00-04:00,1.28,1.45,13.58,MPC
2022-08-02 06:00:00-04:00,8.5,10.61,24.89,MPC
2022-11-01 06:00:00-04:00,7.02,7.81,11.21,MPC
2023-01-31 06:00:00-05:00,5.63,6.65,18.14,MPC
2023-05-02 06:00:00-04:00,5.6,6.09,8.66,MPC
2023-08-01 06:00:00-04:00,4.59,5.32,15.98,MPC
2023-10-31 06:00:00-04:00,7.75,8.14,5.06,MPC
2024-01-30 06:00:00-05:00,2.22,3.98,79.18,MPC
2024-04-30 06:00:00-04:00,2.58,2.58,-0.15,MPC
2024-08-06 06:00:00-04:00,3.09,4.12,33.32,MPC
2024-11-05 06:00:00-05:00,1.28,1.87,46.09,MPC
2025-02-04 06:00:00-05:00,0.02,0.77,3730.85,MPC
2025-05-06 06:00:00-04:00,-0.54,-0.24,55.78,MPC
2025-08-05 06:00:00-04:00,3.22,3.96,22.98,MPC
2025-11-04 06:00:00-05:00,3.16,3.01,-4.86,MPC
2020-02-05 16:00:00-05:00,1.03,1.04,0.61,MPWR
2020-04-28 17:00:00-04:00,0.94,0.95,1.17,MPWR
2020-07-28 16:00:00-04:00,1.0,1.08,8.3,MPWR
2020-10-29 16:00:00-04:00,1.68,1.69,0.65,MPWR
2021-02-04 16:00:00-05:00,1.24,1.31,5.26,MPWR
2021-05-04 16:00:00-04:00,1.34,1.46,8.78,MPWR
2021-07-27 16:00:00-04:00,1.68,1.81,7.44,MPWR
2021-10-28 16:00:00-04:00,2.0,2.06,3.09,MPWR
2022-02-10 16:00:00-05:00,1.88,2.12,12.94,MPWR
2022-05-02 16:00:00-04:00,2.26,2.45,8.58,MPWR
2022-08-01 16:00:00-04:00,2.94,3.25,10.61,MPWR
2022-10-27 16:00:00-04:00,3.49,3.53,1.24,MPWR
2023-02-08 16:00:00-05:00,3.13,3.17,1.13,MPWR
2023-05-04 16:00:00-04:00,2.99,3.0,0.36,MPWR
2023-07-31 16:00:00-04:00,2.81,2.82,0.43,MPWR
2023-10-30 16:00:00-04:00,3.06,3.08,0.67,MPWR
2024-02-07 16:00:00-05:00,2.85,2.88,0.99,MPWR
2024-05-01 16:00:00-04:00,2.64,2.81,6.41,MPWR
2024-08-01 16:00:00-04:00,3.07,3.17,3.34,MPWR
2024-10-30 16:00:00-04:00,3.97,4.06,2.27,MPWR
2025-02-06 16:00:00-05:00,3.98,4.09,2.86,MPWR
2025-05-01 16:00:00-04:00,4.0,4.04,0.89,MPWR
2025-07-31 16:00:00-04:00,4.12,4.21,2.25,MPWR
2025-10-30 16:00:00-04:00,4.64,4.73,2.04,MPWR
2020-02-05 06:00:00-05:00,1.15,1.16,1.15,MRK
2020-04-28 07:00:00-04:00,1.34,1.5,11.78,MRK
2020-07-31 06:00:00-04:00,1.09,1.37,25.84,MRK
2020-10-27 06:00:00-04:00,1.43,1.74,21.32,MRK
2021-02-04 06:00:00-05:00,1.39,1.32,-4.9,MRK
2021-04-29 06:00:00-04:00,1.61,1.4,-13.23,MRK
2021-07-29 06:00:00-04:00,1.35,1.31,-2.85,MRK
2021-10-28 06:00:00-04:00,1.55,1.75,12.58,MRK
2022-02-03 06:00:00-05:00,1.52,1.8,18.08,MRK
2022-04-28 06:00:00-04:00,1.83,2.14,17.11,MRK
2022-07-28 06:00:00-04:00,1.71,1.87,9.57,MRK
2022-10-27 06:00:00-04:00,1.71,1.85,8.28,MRK
2023-02-02 06:00:00-05:00,1.54,1.62,5.36,MRK
2023-04-27 06:00:00-04:00,1.34,1.4,4.76,MRK
2023-08-01 06:00:00-04:00,-2.18,-2.06,5.41,MRK
2023-10-26 06:00:00-04:00,1.95,2.13,9.51,MRK
2024-02-01 06:00:00-05:00,-0.11,0.03,127.48,MRK
2024-04-25 06:00:00-04:00,1.92,2.07,7.74,MRK
2024-07-30 06:00:00-04:00,2.14,2.28,6.31,MRK
2024-10-31 06:00:00-04:00,1.57,1.57,0.03,MRK
2025-02-04 06:00:00-05:00,1.67,1.72,3.3,MRK
2025-04-24 06:00:00-04:00,2.14,2.22,3.98,MRK
2025-07-29 06:00:00-04:00,2.03,2.13,5.04,MRK
2025-10-30 06:00:00-04:00,2.06,2.32,12.85,MRK
2020-02-26 07:00:00-05:00,-0.42,-0.37,12.62,MRNA
2020-05-07 08:00:00-04:00,-0.36,-0.35,3.78,MRNA
2020-08-05 07:00:00-04:00,-0.34,-0.31,8.82,MRNA
2020-10-29 07:00:00-04:00,-0.37,-0.59,-60.42,MRNA
2021-02-25 07:00:00-05:00,-0.36,-0.69,-89.56,MRNA
2021-05-06 07:00:00-04:00,2.47,2.84,15.12,MRNA
2021-08-05 06:00:00-04:00,5.86,6.46,10.31,MRNA
2021-11-04 07:00:00-04:00,9.42,7.7,-18.26,MRNA
2022-02-24 06:00:00-05:00,9.81,11.29,15.11,MRNA
2022-05-04 06:00:00-04:00,5.62,8.58,52.59,MRNA
2022-08-03 07:00:00-04:00,4.49,5.24,16.64,MRNA
2022-11-03 07:00:00-04:00,3.11,2.53,-18.61,MRNA
2023-02-23 07:00:00-05:00,4.6,3.61,-21.5,MRNA
2023-05-04 16:00:00-04:00,-1.73,0.19,111.0,MRNA
2023-08-03 06:00:00-04:00,-4.1,-3.62,11.66,MRNA
2023-11-02 06:00:00-04:00,-2.05,-9.53,-364.44,MRNA
2024-02-22 06:00:00-05:00,-0.99,0.55,155.57,MRNA
2024-05-02 06:00:00-04:00,-3.55,-3.07,13.57,MRNA
2024-08-01 06:00:00-04:00,-3.35,-3.33,0.65,MRNA
2024-11-07 06:00:00-05:00,-1.94,0.03,101.55,MRNA
2025-02-14 06:00:00-05:00,-2.73,-2.91,-6.65,MRNA
2025-05-01 06:00:00-04:00,-3.11,-2.52,18.89,MRNA
2025-08-01 07:00:00-04:00,-3.0,-2.13,28.96,MRNA
2025-11-06 07:00:00-05:00,-2.16,-0.51,76.42,MRNA
2020-01-16 07:00:00-05:00,1.02,1.39,36.6,MS
2020-04-16 08:00:00-04:00,1.08,0.99,-8.69,MS
2020-07-16 07:00:00-04:00,1.12,2.04,81.63,MS
2020-10-15 07:00:00-04:00,1.26,1.66,31.36,MS
2021-01-20 07:00:00-05:00,1.28,1.92,49.99,MS
2021-04-16 07:00:00-04:00,1.73,2.22,28.62,MS
2021-07-15 07:00:00-04:00,1.66,1.89,13.71,MS
2021-10-14 07:00:00-04:00,1.68,2.04,21.62,MS
2022-01-19 07:00:00-05:00,1.96,2.08,5.94,MS
2022-04-14 07:00:00-04:00,1.72,2.06,19.7,MS
2022-07-14 07:00:00-04:00,1.6,1.53,-4.14,MS
2022-10-14 07:00:00-04:00,1.51,1.53,1.27,MS
2023-01-17 08:00:00-05:00,1.29,1.31,1.36,MS
2023-04-19 07:00:00-04:00,1.66,1.74,4.91,MS
2023-07-18 07:00:00-04:00,1.21,1.44,18.95,MS
2023-10-18 07:00:00-04:00,1.31,1.41,7.33,MS
2024-01-16 07:00:00-05:00,1.03,0.85,-17.84,MS
2024-04-16 07:00:00-04:00,1.66,2.02,21.59,MS
2024-07-16 07:00:00-04:00,1.65,1.82,10.16,MS
2024-10-16 07:00:00-04:00,1.58,1.88,18.96,MS
